Node	GOV-E	GOV-W	GOV-F	EG-LL	EG-AO	EG-FD	EG-EMD	EG-WED	EG-ECD	WWTC-GM	WWTC-DGM	WWTC-ED	WWTC-FD	WWTC-AO	WWTC-AED	WWTC-OML	WWTC-OM-M1	WWTC-OM-M2	WWTC-PNWL	WWTC-PNIMTL	WWTC-PNIMT1	WWTC-PNIMT2	WWTC-PNIMT3	WWTC-PNOMDTL	WWTC-PNOMDTM1	WWTC-PNOMDTM2	WWTC-PNWQTTM1	WWTC-PNWQTTM2	WWTP-GM	WWTP-DGM-P	WWTP-DGM-S	WWTP-OT-L	WWTP-OT-M1	WWTP-OT-M2	WWTP-OT-M3	WWTP-AT-L	WWTP-AT-M1	WWTP-AT-M2	WWTP-FT-L	WWTP-FT-M1	WWTP-FT-M2	WWTP-ET-L	WWTP-ET-M1	WWTP-ET-M2	WWTP-WQM1	WWTP-WQM2	SES	AES	DES	EES	Residents	Media	Netizens
WWTC-PNOMDTL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWTC-PNOMDTM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWTC-PNOMDTM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWTC-PNWQTTM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWTC-PNWQTTM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWTP-GM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1
WWTP-DGM-P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WWTP-DGM-S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WWTP-OT-L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WWTP-OT-M1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
